-,Naive Spread,Best Stock From Range,Highest G Portfolio,Median G/R Portfolio,Lowest R Portfolio, UK Interest
Mean,0.1545,0.2056,0.0678,0.0456,0.0323,0.0241
Variance,0.0553,1.2994,0.041,0.0221,0.0027,0.0004



