year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2014,Q4,,789000.0,-2088000.0,11607000.0,13590000.0,6100000.0,-2927000.0,243710000.0,73980000.0,275157000.0,-209544000.0,20835000.0,275157000.0,-209544000.0,20835000.0,86448000.0,10091000.0,10091000.0,-708000.0,13267000.0,42507000.0,-13811000.0,,-224568000.0,-35069000.0,-41989000.0,,31188000.0,-29702000.0
2014,Q3,,746000.0,,11449000.0,12884000.0,,-6622000.0,25250000.0,61301000.0,-81498000.0,110151000.0,15682000.0,-81498000.0,110151000.0,15682000.0,44335000.0,111072000.0,111072000.0,-102398000.0,-152582000.0,4848000.0,-13585000.0,,-64964000.0,-36738000.0,-1882000.0,,6105000.0,200900000.0
2014,Q2,,780000.0,35000.0,11313000.0,11584000.0,,-1501000.0,64980000.0,82455000.0,39008000.0,-48828000.0,23825000.0,39008000.0,-48828000.0,23825000.0,14005000.0,11868000.0,11868000.0,1094000.0,-1931000.0,980000.0,-13016000.0,,-42994000.0,-30806000.0,-93480000.0,,4834000.0,19158000.0
2014,Q1,0.0,688000.0,281000.0,12173000.0,11587000.0,,2202000.0,23519000.0,145758000.0,91721000.0,-120295000.0,22177000.0,91721000.0,-120295000.0,22177000.0,-6397000.0,19115000.0,19115000.0,-11415000.0,-25786000.0,22122000.0,-12798000.0,,-112068000.0,-37505000.0,-38972000.0,,7156000.0,0.0
2013,Q4,,281000.0,20000.0,11785000.0,11017000.0,,1989000.0,4923000.0,211500000.0,-105161000.0,72317000.0,23612000.0,-105161000.0,72317000.0,23612000.0,-9232000.0,14707000.0,14707000.0,-4382000.0,-37317000.0,20105000.0,-11644000.0,,-126980000.0,-27334000.0,-272623000.0,,218341000.0,-11815000.0
2013,Q3,,1289000.0,144000.0,13090000.0,10450000.0,,-3008000.0,-106000.0,27183000.0,30724000.0,-59086000.0,16761000.0,30724000.0,-59086000.0,16761000.0,-11601000.0,9140000.0,9140000.0,-1110000.0,341000.0,598000.0,-11644000.0,,-33951000.0,-35982000.0,14950000.0,,10250000.0,-1000.0
2013,Q2,,778000.0,125000.0,10810000.0,10976000.0,,1371000.0,24031000.0,79760000.0,-214000.0,-2222000.0,20627000.0,-214000.0,-2222000.0,20627000.0,18191000.0,9614000.0,9614000.0,-2112000.0,-1398000.0,85317000.0,-11410000.0,,-73729000.0,-25626000.0,-91197000.0,,,11816000.0
2013,Q1,,734000.0,12000.0,5858000.0,10628000.0,,-17201000.0,51840000.0,254000000.0,84673000.0,-98888000.0,4233000.0,84673000.0,-98888000.0,4233000.0,-9982000.0,11179000.0,11179000.0,-1107000.0,-13018000.0,-1738000.0,-9417000.0,,-86602000.0,-17941000.0,-198732000.0,,7393000.0,
2012,Q4,,1174000.0,,7799000.0,9116000.0,,4971000.0,126937000.0,219539000.0,-69815000.0,53328000.0,23003000.0,-69815000.0,53328000.0,23003000.0,6516000.0,69284000.0,69284000.0,-61947000.0,-48471000.0,4921000.0,-8472000.0,405000.0,-320347000.0,-32970000.0,-359348000.0,,446427000.0,-44703000.0
2012,Q3,,893000.0,433000.0,8819000.0,10365000.0,,-11182000.0,35823000.0,134648000.0,38401000.0,-22454000.0,2887000.0,38401000.0,-22454000.0,2887000.0,18834000.0,6653000.0,6653000.0,-3842000.0,-6602000.0,1005000.0,-8198000.0,,-41991000.0,-14112000.0,-117270000.0,,1000.0,32643000.0
2012,Q2,,819000.0,438000.0,8009000.0,10147000.0,,-129000.0,52688000.0,75378000.0,75855000.0,-80302000.0,21240000.0,75855000.0,-80302000.0,21240000.0,16793000.0,11176000.0,11176000.0,-773000.0,24560000.0,8875000.0,-7807000.0,,-81614000.0,-21624000.0,-68964000.0,,2001000.0,12060000.0
2012,Q1,,683000.0,70000.0,7700000.0,9141000.0,,-2288000.0,8029000.0,4250000.0,35304000.0,-87317000.0,11871000.0,35304000.0,-87317000.0,11871000.0,-40142000.0,2823000.0,2823000.0,1512000.0,34204000.0,220000.0,-7666000.0,,-67459000.0,-20081000.0,-3513000.0,,3000.0,
2011,Q4,,1850000.0,55000.0,10114000.0,8596000.0,,16057000.0,44659000.0,36157000.0,19694000.0,-54487000.0,26578000.0,19694000.0,-54487000.0,26578000.0,-8215000.0,14375000.0,14375000.0,-14300000.0,67779000.0,-1238000.0,-7260000.0,,-60739000.0,-19996000.0,-121641000.0,,27486000.0,
2011,Q3,,1080000.0,20000.0,5323000.0,8398000.0,,1604000.0,-45000.0,57579000.0,-16064000.0,-53656000.0,18888000.0,-16064000.0,-53656000.0,18888000.0,-50832000.0,4647000.0,4647000.0,3159000.0,-2578000.0,-1143000.0,-7260000.0,,-34772000.0,-17991000.0,-64485000.0,725000.0,250000.0,
2011,Q2,,873000.0,358000.0,8191000.0,8449000.0,,543000.0,21000.0,3074000.0,22010000.0,4023000.0,15491000.0,22010000.0,4023000.0,15491000.0,41524000.0,25041000.0,25041000.0,-19415000.0,42021000.0,798000.0,-7257000.0,,-65769000.0,-13878000.0,-15849000.0,,82872000.0,
2011,Q1,,944000.0,3343000.0,8492000.0,8240000.0,,-11041000.0,24000.0,48149000.0,31022000.0,-49037000.0,4758000.0,31022000.0,-49037000.0,4758000.0,-13257000.0,9652000.0,9652000.0,-3037000.0,-759000.0,-211000.0,-7256000.0,,-44452000.0,-13225000.0,-8411000.0,-725000.0,8851000.0,
2010,Q4,,3959000.0,79000.0,10328000.0,9090000.0,,-3634000.0,-75000.0,116879000.0,25704000.0,-37600000.0,21785000.0,25704000.0,-37600000.0,21785000.0,9889000.0,9382000.0,9382000.0,2988000.0,10519000.0,-1430000.0,-7254000.0,,41502000.0,-77671000.0,-94365000.0,,-1000.0,
2010,Q3,,1051000.0,89000.0,5995000.0,9290000.0,,-12992000.0,25000.0,29879000.0,14273000.0,15145000.0,2355000.0,14273000.0,15145000.0,2355000.0,31773000.0,2281000.0,2281000.0,2725000.0,-951000.0,-504000.0,-7236000.0,,-24351000.0,,-7444000.0,,40000000.0,
