year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,othernetchangesincash,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2013,Q3,,54000.0,6754000.0,26000.0,3274000.0,-113000.0,3333000.0,1174000.0,,-936000.0,-2777000.0,21012000.0,-936000.0,-2777000.0,21012000.0,17186000.0,12205000.0,12205000.0,,2146000.0,447000.0,,,-2777000.0,-2557000.0,,,
2013,Q2,-244000.0,48000.0,11934000.0,2121000.0,3362000.0,-117000.0,-3343000.0,397000.0,,904000.0,-2714000.0,14476000.0,904000.0,-2714000.0,14476000.0,12549000.0,12637000.0,12637000.0,,1772000.0,507000.0,,,-2470000.0,,,,
2013,Q1,-269000.0,45000.0,2000.0,31000.0,3289000.0,12000.0,-9869000.0,868000.0,0.0,1106000.0,-2958000.0,6922000.0,1106000.0,-2958000.0,6922000.0,5082000.0,10842000.0,10842000.0,,2615000.0,238000.0,,,-2689000.0,,,,
2012,Q4,177000.0,-434000.0,-11547000.0,-2166000.0,3215000.0,-19000.0,-9383000.0,906000.0,,2987000.0,-5521000.0,4932000.0,2987000.0,-5521000.0,4932000.0,2379000.0,8811000.0,8811000.0,,2723000.0,2081000.0,,,-5698000.0,,,,
2012,Q3,,193000.0,5728000.0,25000.0,2921000.0,208000.0,-4125000.0,449000.0,,1261000.0,-2503000.0,15026000.0,1261000.0,-2503000.0,15026000.0,13992000.0,13753000.0,13753000.0,,2284000.0,812000.0,,,-2503000.0,,,,
2012,Q2,,195000.0,5756000.0,2125000.0,2808000.0,-298000.0,-12434000.0,,,,-6867000.0,3237000.0,,-6867000.0,3237000.0,-3928000.0,9706000.0,9706000.0,,2962000.0,,,,-6867000.0,,,,
2012,Q1,-55224000.0,193000.0,63000.0,16000.0,2511000.0,-181000.0,-3774000.0,523000.0,,2118000.0,-60610000.0,3049000.0,2118000.0,-60610000.0,3049000.0,-55624000.0,3108000.0,3108000.0,,1011000.0,1595000.0,,,-5386000.0,,,,
2011,Q4,-45000000.0,187000.0,-1718000.0,-11000.0,1545000.0,,-4310000.0,469000.0,,54000.0,-48141000.0,5441000.0,54000.0,-48141000.0,5441000.0,-42646000.0,5733000.0,5733000.0,,2286000.0,,,,-3141000.0,-415000.0,,,
2011,Q3,-12401000.0,-121000.0,563000.0,3000.0,1392000.0,,-10377000.0,116000.0,,20000.0,-14781000.0,6886000.0,20000.0,-14781000.0,6886000.0,-7875000.0,13524000.0,13524000.0,,2468000.0,,,,-3130000.0,-96000.0,,750000.0,
2011,Q2,-30011000.0,1689000.0,949000.0,3000.0,1183000.0,,-3372000.0,123000.0,120000000.0,115536000.0,-31956000.0,5503000.0,115536000.0,-31956000.0,5503000.0,88771000.0,17946000.0,17946000.0,,-11943000.0,,-312000.0,1792000.0,-5232000.0,-4587000.0,,3131000.0,-1636000.0
2011,Q1,0.0,193000.0,206000.0,5000.0,1126000.0,0.0,-5209000.0,2106000.0,,2106000.0,-156000.0,1827000.0,2106000.0,-156000.0,1827000.0,4089000.0,5810000.0,5810000.0,,-93000.0,0.0,312000.0,-1792000.0,,,,,1636000.0
2010,Q4,,2021000.0,-96000.0,-744000.0,1145000.0,,-437000.0,287000.0,,-6152000.0,33092000.0,5185000.0,-6152000.0,33092000.0,5185000.0,32125000.0,23747000.0,23747000.0,,-21291000.0,,,,-2066000.0,-6439000.0,,35158000.0,
2010,Q3,,274000.0,,227000.0,1140000.0,,-184000.0,215000.0,,215000.0,-884000.0,5408000.0,215000.0,-884000.0,5408000.0,4739000.0,3990000.0,3990000.0,,188000.0,,,,-1033000.0,,,149000.0,
