year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
2013,Q2,190000.0,1225000.0,163000.0,16022000.0,19233000.0,,-11992000.0,29000.0,337900000.0,-2772000.0,-2926000.0,22034000.0,-2772000.0,-2926000.0,22034000.0,16336000.0,-9455000.0,-9455000.0,23023000.0,-2504000.0,1023000.0,,-4801000.0,-338197000.0,,662000.0
2013,Q1,-190000.0,1580000.0,1764000.0,7506000.0,20310000.0,,-12260000.0,0.0,0.0,-18500000.0,-1289000.0,10479000.0,-18500000.0,-1289000.0,10479000.0,-9310000.0,412000.0,412000.0,437000.0,501000.0,2861000.0,,-5556000.0,-19001000.0,0.0,1596000.0
2012,Q4,,1503000.0,59000.0,17640000.0,20493000.0,128000.0,736000.0,,,-79637000.0,17409000.0,23033000.0,-79637000.0,17409000.0,23033000.0,-39195000.0,-1758000.0,-1758000.0,2059000.0,1396000.0,8481000.0,-192000.0,-21024000.0,-80737000.0,-104000.0,29824000.0
2012,Q3,,1417000.0,178000.0,7703000.0,24562000.0,1111000.0,8468000.0,,,-11744000.0,-8294000.0,37344000.0,-11744000.0,-8294000.0,37344000.0,17306000.0,1240000.0,1240000.0,1657000.0,-3063000.0,-5918000.0,-1605000.0,-6613000.0,-7042000.0,-34000.0,3126000.0
2012,Q2,,1400000.0,277000.0,16330000.0,24682000.0,,-9436000.0,,,-8379000.0,-8261000.0,18406000.0,-8379000.0,-8261000.0,18406000.0,1766000.0,1927000.0,1927000.0,-167000.0,-2637000.0,-2745000.0,,-6182000.0,-5743000.0,1000.0,666000.0
2012,Q1,0.0,1376000.0,246000.0,8682000.0,25457000.0,1257000.0,-2127000.0,,,-7010000.0,-1440000.0,24360000.0,-7010000.0,-1440000.0,24360000.0,15910000.0,-2572000.0,-2572000.0,2226000.0,-205000.0,-2786000.0,,-3745000.0,-6794000.0,-11000.0,3834000.0
2011,Q4,188000.0,1378000.0,-373000.0,15168000.0,26194000.0,,-8622000.0,2000.0,25000000.0,-10313000.0,-8314000.0,22483000.0,-10313000.0,-8314000.0,22483000.0,3856000.0,-14107000.0,-14107000.0,17640000.0,-3032000.0,4810000.0,,-13493000.0,-32189000.0,-94000.0,181000.0
2011,Q3,-1263000.0,1962000.0,22000.0,7209000.0,27040000.0,763000.0,-26396000.0,,,-36164000.0,-12036000.0,24363000.0,-36164000.0,-12036000.0,24363000.0,-23837000.0,-137137000.0,-137137000.0,158894000.0,-366000.0,3380000.0,,-15037000.0,-35713000.0,-85000.0,121000.0
2011,Q2,-46650000.0,1120000.0,-2388000.0,14570000.0,27806000.0,300000.0,-2206000.0,15000.0,,-6552000.0,-58349000.0,27203000.0,-6552000.0,-58349000.0,27203000.0,-37698000.0,-2310000.0,-2310000.0,2793000.0,-584000.0,-928000.0,-1626000.0,-11166000.0,-4357000.0,,95000.0
2011,Q1,,1098000.0,31000.0,7449000.0,25378000.0,,-6258000.0,39000.0,,-3650000.0,-11121000.0,19478000.0,-3650000.0,-11121000.0,19478000.0,4707000.0,-1550000.0,-1550000.0,810000.0,-959000.0,-1384000.0,,-9913000.0,-2730000.0,,176000.0
2010,Q4,-2077000.0,1095000.0,260000.0,15040000.0,25779000.0,,-22914000.0,2000.0,,-4491000.0,-21800000.0,19829000.0,-4491000.0,-21800000.0,19829000.0,-6462000.0,-28554000.0,-28554000.0,44423000.0,-1161000.0,-207000.0,-355000.0,-20687000.0,-2805000.0,-172000.0,1171000.0
2010,Q3,-9739000.0,1081000.0,16000.0,7550000.0,26303000.0,,3380000.0,1000.0,,-4190000.0,-21640000.0,32591000.0,-4190000.0,-21640000.0,32591000.0,6761000.0,-100000.0,-100000.0,1927000.0,-1230000.0,3400000.0,,-15603000.0,-2914000.0,-47000.0,302000.0
