year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
2013,Q1,,,835000.0,4489000.0,20122000.0,-681000.0,528000.0,83689000.0,17731000.0,-24892000.0,14722000.0,,,,17731000.0,-24892000.0,14722000.0,7561000.0,-5689000.0,-5689000.0,,970000.0,511000.0,-21679000.0,,-11847000.0,-66997000.0,,8634000.0
2012,Q4,-44736000.0,,20900000.0,4552000.0,20064000.0,10914000.0,368000.0,173888000.0,23593000.0,-78546000.0,54964000.0,,,,23593000.0,-78546000.0,54964000.0,11000.0,21421000.0,21421000.0,,2565000.0,1159000.0,-17674000.0,-91629000.0,-18886000.0,-60193000.0,,2750000.0
2012,Q3,,,19181000.0,4928000.0,20638000.0,-24315000.0,454000.0,15000000.0,-29663000.0,-17106000.0,22856000.0,,,,-29663000.0,-17106000.0,22856000.0,-23913000.0,27844000.0,27844000.0,,-1311000.0,662000.0,-14313000.0,,-5565000.0,-45779000.0,,2772000.0
2012,Q2,,,2686000.0,5110000.0,20943000.0,-14358000.0,1820000.0,30000000.0,-21539000.0,9757000.0,37862000.0,,,,-21539000.0,9757000.0,37862000.0,26080000.0,31413000.0,31413000.0,,-136000.0,556000.0,-36362000.0,,21675000.0,-53915000.0,,24444000.0
2012,Q1,-3176000.0,,274000.0,5493000.0,20879000.0,2183000.0,2052000.0,28738000.0,-13431000.0,-24104000.0,35613000.0,,,,-13431000.0,-24104000.0,35613000.0,-1922000.0,12474000.0,12474000.0,,77000.0,1070000.0,-137000.0,,-24248000.0,-45291000.0,,3457000.0
2011,Q4,548000.0,,10260000.0,6086000.0,20660000.0,6896000.0,827000.0,36021000.0,-17856000.0,-21564000.0,40467000.0,,,,-17856000.0,-21564000.0,40467000.0,1047000.0,12402000.0,12402000.0,,509000.0,599000.0,-35447000.0,,12176000.0,-55303000.0,,1159000.0
2011,Q3,-201728000.0,,2469000.0,4652000.0,19030000.0,-15856000.0,739000.0,200000000.0,152166000.0,-214410000.0,21562000.0,,,,152166000.0,-214410000.0,21562000.0,-40682000.0,18540000.0,18540000.0,,-152000.0,128000.0,-479000.0,,-16966000.0,-48701000.0,,4763000.0
2011,Q2,,,2056000.0,4213000.0,16695000.0,-18977000.0,1003000.0,,-18654000.0,-2698000.0,8137000.0,,,,-18654000.0,-2698000.0,8137000.0,-13215000.0,9920000.0,9920000.0,,499000.0,222000.0,919000.0,,-4106000.0,-19879000.0,,489000.0
2011,Q1,-1554000.0,,566000.0,4456000.0,16492000.0,2742000.0,1117000.0,0.0,-16647000.0,-12256000.0,24605000.0,,,,-16647000.0,-12256000.0,24605000.0,-4298000.0,5712000.0,5712000.0,,-341000.0,375000.0,-400000.0,,-12645000.0,-18139000.0,,2343000.0
2010,Q4,,,8242000.0,4494000.0,16153000.0,7906000.0,1823000.0,,-16305000.0,-6987000.0,38405000.0,,,,-16305000.0,-6987000.0,38405000.0,15113000.0,12533000.0,12533000.0,,1813000.0,178000.0,-365000.0,,-7961000.0,-18306000.0,,1339000.0
2010,Q3,,,11130000.0,4655000.0,16055000.0,-13557000.0,1068000.0,,-13690000.0,-180000.0,20637000.0,,,,-13690000.0,-180000.0,20637000.0,6767000.0,18109000.0,18109000.0,,30000.0,370000.0,289000.0,,-3232000.0,-15128000.0,,2763000.0
2010,Q2,,,92000.0,6280000.0,15685000.0,-9293000.0,37000.0,2438000.0,-16993000.0,-8094000.0,21701000.0,,,,-16993000.0,-8094000.0,21759000.0,-3328000.0,12438000.0,12438000.0,,2871000.0,25000.0,515000.0,,-11947000.0,-19493000.0,,3338000.0
2010,Q1,0.0,,163000.0,3413000.0,15743000.0,11217000.0,98000.0,3750000.0,-13469000.0,-11681000.0,29293000.0,,,,-13469000.0,-11681000.0,29235000.0,4085000.0,-323000.0,-323000.0,,2656000.0,-12000.0,-230000.0,,-11994000.0,-17305000.0,,543000.0
