,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
"(2013, 'Q3')",22143000.0,61544000.0,17144000.0,-13128000.0,75598000.0,235340000.0,6945000.0,198000.0,5155000.0,29565000.0,75033000.0,107694000.0,10323000.0,56722000.0,80510000.0,,1194000.0,803000.0,,17946000.0,2791000.0,17704000.0,5014000.0,4448000.0,-1312000.0,,,409687000.0,238846000.0,205257000.0,44640000.0,238846000.0,238846000.0,170841000.0,409687000.0,123920000.0,126201000.0
"(2013, 'Q2')",21393000.0,57707000.0,12691000.0,-10525000.0,58412000.0,232288000.0,7385000.0,594000.0,4473000.0,30487000.0,76767000.0,106656000.0,10311000.0,56703000.0,81033000.0,,1013000.0,825000.0,,17946000.0,2927000.0,17424000.0,2667000.0,4836000.0,-13517000.0,,,390248000.0,226192000.0,185043000.0,39151000.0,226192000.0,226192000.0,164056000.0,390248000.0,124172000.0,124905000.0
"(2013, 'Q1')",20270000.0,58998000.0,13865000.0,-5546000.0,45863000.0,228844000.0,7886000.0,4932000.0,2144000.0,32284000.0,78779000.0,105637000.0,10420000.0,53958000.0,82285000.0,,1221000.0,1534000.0,,17946000.0,3578000.0,18625000.0,2874000.0,3951000.0,-26154000.0,,,382097000.0,215090000.0,170656000.0,41211000.0,215090000.0,215090000.0,167007000.0,382097000.0,129156000.0,125796000.0
2012,21784000.0,51017000.0,13974000.0,-5904000.0,40781000.0,226035000.0,9190000.0,,7533000.0,32159000.0,80385000.0,104637000.0,10299000.0,52495000.0,80679000.0,,930000.0,1991000.0,0.0,17946000.0,3328000.0,18565000.0,3078000.0,5224000.0,-36996000.0,,,369565000.0,201081000.0,158707000.0,43291000.0,201081000.0,201081000.0,168484000.0,369565000.0,130179000.0,125193000.0
"(2012, 'Q3')",17478000.0,44536000.0,17000000.0,-3692000.0,38402000.0,221064000.0,6380000.0,,4816000.0,32369000.0,81561000.0,103653000.0,10284000.0,50230000.0,78152000.0,,1938000.0,1686000.0,,17946000.0,200000.0,17083000.0,3279000.0,3896000.0,-45807000.0,,,351227000.0,189511000.0,143444000.0,39294000.0,189511000.0,189511000.0,161716000.0,351227000.0,129631000.0,122422000.0
"(2012, 'Q2')",15931000.0,37066000.0,9048000.0,-6960000.0,24410000.0,217934000.0,4469000.0,,3461000.0,30179000.0,82956000.0,102688000.0,10269000.0,46575000.0,76310000.0,,,2428000.0,,17946000.0,138000.0,16900000.0,3476000.0,3968000.0,-59560000.0,,,319816000.0,169360000.0,116488000.0,28440000.0,169360000.0,169360000.0,150456000.0,319816000.0,127018000.0,122016000.0
"(2012, 'Q1')",15922000.0,31508000.0,5614000.0,-2203000.0,28338000.0,216177000.0,6715000.0,,5865000.0,32685000.0,84870000.0,101740000.0,10254000.0,41343000.0,72870000.0,,,3824000.0,3349000.0,17946000.0,112000.0,16393000.0,3671000.0,2995000.0,-69266000.0,,,315361000.0,162654000.0,110899000.0,30750000.0,162654000.0,162654000.0,152707000.0,315361000.0,131592000.0,121957000.0
2011,17874000.0,25307000.0,5321000.0,0.0,83962000.0,212636000.0,8153000.0,,5094000.0,11863000.0,80838000.0,100808000.0,10137000.0,35456000.0,44389000.0,,0.0,3742000.0,,17946000.0,105000.0,16098000.0,3864000.0,3071000.0,-72374000.0,,,307145000.0,158208000.0,155949000.0,28289000.0,158208000.0,158208000.0,148937000.0,307145000.0,106807000.0,120648000.0
"(2011, 'Q3')",11560000.0,19861000.0,6064000.0,,126608000.0,210775000.0,12505000.0,,3660000.0,11788000.0,21125000.0,99893000.0,10000000.0,30488000.0,40500000.0,1004000.0,,5817000.0,0.0,17946000.0,338000.0,1299000.0,3635000.0,3063000.0,-78107000.0,,,279911000.0,150614000.0,192525000.0,21284000.0,150614000.0,150614000.0,129297000.0,279911000.0,46886000.0,108013000.0
"(2011, 'Q2')",10707000.0,16949000.0,4672000.0,,134483000.0,209482000.0,,,2896000.0,14749000.0,16057000.0,98903000.0,,26814000.0,37498000.0,1050000.0,,,0.0,17946000.0,1268000.0,1299000.0,3719000.0,3787000.0,-91631000.0,,,255324000.0,135797000.0,182033000.0,18275000.0,135797000.0,135797000.0,119527000.0,255324000.0,35793000.0,101252000.0
2010,4894000.0,11270000.0,3473000.0,,41623000.0,182466000.0,0.0,,3396000.0,0.0,3122000.0,0.0,0.0,18917000.0,32731000.0,1125000.0,0.0,,10177000.0,19673000.0,105000.0,1299000.0,1545000.0,1803000.0,-115387000.0,,,111116000.0,86752000.0,73613000.0,21940000.0,86752000.0,86752000.0,24364000.0,111116000.0,4772000.0,2424000.0
