year,period,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
2012,Q4,,289850000.0,-60188000.0,,1364000.0,-3516000.0,,,,-58533000.0,-351592000.0,250539000.0,-58533000.0,-351592000.0,250539000.0,-163102000.0,0.0,,,-736000.0,,,-16760000.0,-1317740000.0,-16415000.0,690000.0,-41727000.0,,981277000.0,-78000.0
2012,Q3,,,,,,146000.0,,,,-129572000.0,-149708000.0,429159000.0,-129572000.0,-149708000.0,244648000.0,-34486000.0,,,-184511000.0,77000.0,,,-17284000.0,-1243131000.0,-17679000.0,-591000.0,-111774000.0,,1110455000.0,647000.0
2012,Q2,0.0,,,,,-3918000.0,,,,-170236000.0,32841000.0,183490000.0,-170236000.0,32841000.0,183490000.0,42177000.0,163260000.0,163260000.0,20230000.0,3913000.0,,,-19408000.0,-706571000.0,-15237000.0,325000.0,-155066000.0,,754654000.0,-5000.0
2012,Q1,-4621000.0,,,,,805000.0,,0.0,,-122300000.0,18576000.0,1021000.0,-122300000.0,18576000.0,1021000.0,-101898000.0,-163260000.0,-163260000.0,168902000.0,-1526000.0,,,-15941000.0,-820554000.0,-7126000.0,-1204000.0,-103629000.0,,844445000.0,1811000.0
2011,Q4,0.0,218372000.0,-60244000.0,0.0,,-603000.0,0.0,,,-186691000.0,-51129000.0,345613000.0,-186691000.0,-51129000.0,345613000.0,107190000.0,538956000.0,538956000.0,-193343000.0,-304000.0,-1489000.0,,-16527000.0,-709868000.0,-10594000.0,-955000.0,-168905000.0,,669564000.0,1258000.0
2011,Q3,,,,,,-5068000.0,,,,-450157000.0,-145459000.0,,-450157000.0,-145459000.0,509691000.0,-90993000.0,,,,-2874000.0,1489000.0,,-50858000.0,-2258561000.0,-25153000.0,-26482000.0,-364943000.0,-5000000.0,2134201000.0,2565000.0
2011,Q2,,,,,,-3812000.0,,,,231070000.0,166450000.0,,231070000.0,166450000.0,-183626000.0,210082000.0,,,,1943000.0,-317000.0,,16122000.0,795985000.0,6213000.0,32411000.0,175594000.0,5000000.0,-635397000.0,-34000.0
2011,Q1,,,,,,3812000.0,,,,-231070000.0,-166450000.0,,-231070000.0,-166450000.0,183626000.0,-210082000.0,,,,-1943000.0,317000.0,,-16122000.0,-795985000.0,-6213000.0,-32411000.0,-175594000.0,-5000000.0,635397000.0,34000.0
2010,Q4,0.0,-341148000.0,-60539000.0,0.0,,1232000.0,0.0,,,-185916000.0,91612000.0,75281000.0,-185916000.0,91612000.0,75281000.0,-17791000.0,278607000.0,278607000.0,-203326000.0,-136000.0,-56332000.0,,-16916000.0,-794629000.0,-9111000.0,-12317000.0,-153387000.0,-3160000.0,951422000.0,262000.0
2010,Q3,,,,,,3310000.0,,,,-73268000.0,87365000.0,,-73268000.0,87365000.0,147177000.0,164584000.0,,,,-175000.0,11412000.0,,-17238000.0,-653166000.0,-14268000.0,490000.0,-56345000.0,,743315000.0,72000.0
2010,Q2,,,,,,-2743000.0,,,,-241594000.0,119128000.0,,-241594000.0,119128000.0,196391000.0,71182000.0,,,,-2562000.0,28971000.0,,-17876000.0,-617307000.0,-14636000.0,-8681000.0,-212475000.0,,722095000.0,5000.0
2010,Q1,,,,,,-2228000.0,,,,-198695000.0,-306981000.0,,-198695000.0,-306981000.0,121893000.0,-386011000.0,,,,-3928000.0,16322000.0,,-17588000.0,-1003618000.0,-13196000.0,-76840000.0,-100339000.0,,693470000.0,41000.0
2009,Q4,0.0,-328264000.0,-60569000.0,0.0,,1158000.0,0.0,,,5277000.0,19380000.0,56886000.0,5277000.0,19380000.0,56886000.0,82701000.0,430574000.0,430574000.0,-373688000.0,-79000.0,-55018000.0,,-17635000.0,-676778000.0,-17519000.0,22991000.0,,,767460000.0,1235000.0
2009,Q3,,,,,,1031000.0,,,,-77315000.0,116157000.0,,-77315000.0,116157000.0,386796000.0,426669000.0,,,,-179000.0,22785000.0,,-17701000.0,-558369000.0,-10304000.0,-27486000.0,-31949000.0,,662018000.0,27000.0
