date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-08-13,73.625,1,77.15,69.1,69.65,4713387.0,73.625,0.0,77.15,69.1,69.65,1.0,4713387.0
2018-06-30,70.15,1,76.2,62.179848594088,72.3855082912761,13793019.0,70.15,0.3,76.2,62.45,72.7,1.0,13793019.0
2018-03-31,72.9,1,75.4,67.1150105708245,68.1107822410148,16050946.0,72.9,0.3,75.4,67.4,68.4,1.0,16050946.0
2017-12-31,67.8120507399577,1,69.4213169433429,59.3977801268499,65.4572160472205,12576385.0,68.1,0.29,70.05,59.65,66.05,1.0,12576385.0
2017-09-30,65.2094597412129,1,65.4572160472205,53.5153620976519,58.5113364498144,12213689.0,65.8,0.29,66.05,54.0,59.35,1.0,12213689.0
2017-06-30,58.2155756926965,1,67.7097921192148,56.2931307714305,60.644422506775,10893281.0,59.05,0.29,69.0,57.1,61.8,1.0,10893281.0
2017-03-31,60.693487573528,1,65.0999690418032,57.4325308275773,58.5069489212905,12991852.0,61.85,0.29,66.65,58.8,59.9,1.0,12991852.0
2016-12-31,58.0185770605117,1,61.1929941555734,42.2689762925324,45.3687012206514,13431554.0,59.4,0.28,62.65,43.5,46.69,1.0,13431554.0
2016-09-30,45.4172862508727,1,47.1954983569724,42.681737548663,43.5415552584481,9924588.0,46.74,0.28,48.61,44.031,45.07,1.0,9924588.0
2016-06-30,43.6091813704537,1,45.5799994917591,40.8171013652123,41.3066761934404,12583199.0,45.14,0.28,47.18,42.52,43.03,1.0,12583199.0
2016-03-31,41.6618579315667,1,42.4682164721776,33.8845825391088,38.1356440897255,14616962.0,43.4,0.28,44.24,35.55,40.01,1.0,14616962.0
2015-12-31,38.5931574404645,1,41.2247615033373,35.0325258526293,36.1781841305126,14832541.0,40.49,0.27,43.54,37.0,38.21,1.0,14832541.0
2015-09-30,36.12137462913,1,40.3820872328281,34.934844194838,37.4926578209473,17140649.0,38.15,0.27,42.65,37.15,39.87,1.0,17140649.0
