,accountspayable,accountsreceivable,accumulateddepreciation,aoci,cashandequivalents,commonequity,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
2014,172401000.0,375732000.0,156872000.0,-1615000.0,71189000.0,166999000.0,55760000.0,193494000.0,260468000.0,159508000.0,167992000.0,335747000.0,103596000.0,21166000.0,23611000.0,53480000.0,60074000.0,20257000.0,51303000.0,896776000.0,2720000.0,1334169000.0,800308000.0,836148000.0,290955000.0,800308000.0,800308000.0,533861000.0,1334169000.0,394425000.0,242906000.0,0.0,-261852000.0
"(2014, 'Q3')",145352000.0,344096000.0,,-13884000.0,69086000.0,166495000.0,46849000.0,111201000.0,,88368000.0,,320045000.0,78834000.0,23792000.0,25197000.0,41284000.0,46022000.0,19945000.0,22159000.0,877547000.0,30000000.0,1096651000.0,781072000.0,774511000.0,268223000.0,781072000.0,781072000.0,315579000.0,1096651000.0,243306000.0,47356000.0,0.0,-249086000.0
"(2014, 'Q2')",140869000.0,305936000.0,,-10100000.0,66584000.0,165299000.0,48769000.0,111356000.0,,91669000.0,,323257000.0,80056000.0,20463000.0,25405000.0,54702000.0,46216000.0,20136000.0,24421000.0,857638000.0,15000000.0,1074159000.0,773479000.0,750479000.0,250854000.0,773479000.0,773479000.0,300680000.0,1074159000.0,243624000.0,49826000.0,0.0,-239358000.0
"(2014, 'Q1')",131195000.0,320281000.0,,-2790000.0,76877000.0,164492000.0,45373000.0,106973000.0,,87961000.0,,302404000.0,81149000.0,20568000.0,25340000.0,34174000.0,49007000.0,19702000.0,24552000.0,841448000.0,,1050089000.0,774622000.0,733736000.0,225575000.0,774622000.0,774622000.0,275467000.0,1050089000.0,235204000.0,49892000.0,0.0,-228528000.0
2013,136575000.0,329880000.0,157506000.0,-3421000.0,73164000.0,163893000.0,63899000.0,106849000.0,240749000.0,91267000.0,,281417000.0,83243000.0,21026000.0,30919000.0,52819000.0,45426000.0,19041000.0,22272000.0,824362000.0,,1058706000.0,759615000.0,737280000.0,245900000.0,759615000.0,759615000.0,299091000.0,1058706000.0,238183000.0,53191000.0,0.0,-225219000.0
"(2013, 'Q3')",140865000.0,336245000.0,,-1186000.0,43083000.0,162676000.0,54044000.0,108060000.0,,95215000.0,,281198000.0,84355000.0,26407000.0,34924000.0,42355000.0,45881000.0,19019000.0,22243000.0,801812000.0,,1035937000.0,737980000.0,702881000.0,240790000.0,737980000.0,737980000.0,297957000.0,1035937000.0,248701000.0,57167000.0,0.0,-225322000.0
"(2013, 'Q2')",123796000.0,304628000.0,,4119000.0,51845000.0,161508000.0,52935000.0,105026000.0,,100914000.0,,294651000.0,85596000.0,26209000.0,35038000.0,46820000.0,45763000.0,21937000.0,24982000.0,782236000.0,33000000.0,1037626000.0,722112000.0,697944000.0,255494000.0,722112000.0,722112000.0,315514000.0,1037626000.0,254086000.0,60020000.0,0.0,-225751000.0
"(2013, 'Q1')",145932000.0,325753000.0,,4579000.0,56673000.0,160900000.0,46355000.0,94626000.0,,90087000.0,,268960000.0,84357000.0,26069000.0,34940000.0,35709000.0,49720000.0,19533000.0,21721000.0,764045000.0,,1001767000.0,703099000.0,687095000.0,242007000.0,703099000.0,703099000.0,298668000.0,1001767000.0,230315000.0,56661000.0,0.0,-226425000.0
2012,120890000.0,307043000.0,148623000.0,-4569000.0,78442000.0,160070000.0,63149000.0,83080000.0,231726000.0,84840000.0,,228506000.0,83103000.0,26424000.0,39750000.0,51771000.0,46130000.0,18974000.0,20133000.0,743360000.0,,962183000.0,672131000.0,665762000.0,230169000.0,672131000.0,672131000.0,290052000.0,962183000.0,213318000.0,59883000.0,0.0,-226730000.0
"(2012, 'Q3')",124614000.0,307660000.0,,7458000.0,79408000.0,159943000.0,56234000.0,84690000.0,,88768000.0,,230035000.0,78464000.0,34752000.0,35274000.0,31897000.0,44847000.0,18662000.0,21158000.0,720202000.0,,954336000.0,672209000.0,649000000.0,225695000.0,672209000.0,672209000.0,282127000.0,954336000.0,226872000.0,56432000.0,0.0,-215394000.0
"(2012, 'Q2')",105591000.0,280700000.0,,1427000.0,70512000.0,161704000.0,51930000.0,75517000.0,,82968000.0,,222626000.0,76659000.0,36604000.0,36238000.0,36113000.0,41443000.0,16314000.0,16625000.0,699612000.0,,898013000.0,646186000.0,609951000.0,198964000.0,646186000.0,646186000.0,251827000.0,898013000.0,211403000.0,52863000.0,0.0,-216557000.0
"(2012, 'Q1')",109928000.0,289450000.0,,2164000.0,73218000.0,160153000.0,44443000.0,76783000.0,,86661000.0,,215013000.0,73079000.0,42437000.0,43911000.0,27532000.0,52582000.0,16054000.0,16549000.0,686687000.0,,900227000.0,632814000.0,605213000.0,206953000.0,632814000.0,632814000.0,267413000.0,900227000.0,221935000.0,60460000.0,0.0,-216190000.0
2011,108509000.0,290751000.0,143930000.0,5059000.0,91092000.0,158307000.0,65413000.0,76981000.0,212944000.0,89551000.0,,204066000.0,69014000.0,43447000.0,47730000.0,33005000.0,40766000.0,17024000.0,18950000.0,668421000.0,,914931000.0,633563000.0,618914000.0,214688000.0,633563000.0,633563000.0,281368000.0,914931000.0,227003000.0,66680000.0,0.0,-198224000.0
"(2011, 'Q3')",110143000.0,280706000.0,,3331000.0,88559000.0,158112000.0,55007000.0,75605000.0,,90324000.0,,196427000.0,67949000.0,47623000.0,49777000.0,26791000.0,43493000.0,17874000.0,20241000.0,648232000.0,0.0,891858000.0,613197000.0,592483000.0,208643000.0,613197000.0,613197000.0,278661000.0,891858000.0,231426000.0,70018000.0,0.0,-196478000.0
"(2011, 'Q2')",86957000.0,250671000.0,,-3877000.0,53915000.0,156804000.0,42134000.0,74587000.0,,93389000.0,,194991000.0,67357000.0,47557000.0,49371000.0,29392000.0,43049000.0,17771000.0,18878000.0,628912000.0,0.0,829630000.0,589241000.0,528969000.0,172140000.0,589241000.0,589241000.0,240389000.0,829630000.0,233304000.0,68249000.0,0.0,-192598000.0
"(2011, 'Q1')",109266000.0,261042000.0,,-8211000.0,94593000.0,155366000.0,37999000.0,73743000.0,,95671000.0,,190758000.0,67044000.0,48346000.0,48966000.0,24822000.0,63292000.0,16690000.0,19108000.0,614919000.0,25000000.0,872709000.0,569078000.0,571215000.0,235557000.0,569078000.0,569078000.0,303631000.0,872709000.0,234450000.0,68074000.0,0.0,-192996000.0
2010,94529000.0,246402000.0,138790000.0,-6048000.0,175777000.0,153185000.0,50107000.0,63405000.0,197261000.0,85916000.0,,173253000.0,58471000.0,48493000.0,48560000.0,23428000.0,51696000.0,16375000.0,16589000.0,601370000.0,75000000.0,891520000.0,555039000.0,618860000.0,271332000.0,555039000.0,555039000.0,336481000.0,891520000.0,214189000.0,65149000.0,0.0,-193468000.0
