year,period,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,purchaseofplantpropertyandequipment,repaymentofdebt
2011,Q3,-29341.0,647378.0,331.0,58249.0,-34224.0,979252.0,608923.0,-608923.0,19120.0,-29872.0,4503118.0,19120.0,-29872.0,4503118.0,4458142.0,3465617.0,3465617.0,-531.0,19120.0
2010,Q3,,43033.0,5035.0,43962.0,78585.0,-5552379.0,,101036.0,82141.0,-41802.0,-946847.0,82140.0,-41802.0,-946846.0,-827923.0,4561570.0,4561570.0,-41802.0,-18895.0
